SalePrice,GrLivArea,Neighborhood,OverallQual,YearBuilt
208500,1710,CollgCr,7,2003
181500,1262,Veenker,6,1976
223500,1786,CollgCr,7,2001
140000,1717,Crawfor,7,1915
250000,2198,NoRidge,8,2000
143000,1362,Mitchel,5,1993
307000,1694,Somerst,8,2004
200000,2090,NWAmes,7,1973
129900,1774,OldTown,7,1931
118000,1077,BrkSide,5,1939
129500,1040,Sawyer,5,1965
345000,2324,NridgHt,9,2005
144000,912,Sawyer,5,1962
279500,1494,CollgCr,7,2006
157000,1253,NAmes,6,1960
132000,854,BrkSide,7,1929
149000,1004,NAmes,6,1970
90000,1296,Sawyer,4,1967
159000,1114,SawyerW,5,2004
139000,1339,NAmes,5,1958
325300,2376,NridgHt,8,2005
139400,1108,IDOTRR,7,1930
230000,1795,CollgCr,8,2002
129900,1060,MeadowV,5,1976
154000,1060,Sawyer,5,1968
256300,1600,NridgHt,8,2007
134800,900,NAmes,5,1951
306000,1704,NridgHt,8,2007
207500,1600,NAmes,5,1957
68500,520,BrkSide,4,1927
40000,1317,IDOTRR,4,1920
149350,1228,Sawyer,5,1966
179900,1234,CollgCr,8,2007
165500,1700,NAmes,5,1959
277500,1561,NridgHt,9,2005
309000,2452,NridgHt,8,2004
145000,1097,CollgCr,5,1994
153000,1297,NAmes,5,1954
109000,1057,NAmes,5,1953
82000,1152,Edwards,4,1955
160000,1324,NAmes,6,1965
170000,1328,Timber,5,1959
144000,884,SawyerW,5,1983
130250,938,CollgCr,5,1975
141000,1150,NAmes,5,1959
319900,1752,NridgHt,9,2005
239686,2149,Mitchel,7,2003
249700,1656,Somerst,8,2006
113000,1452,OldTown,4,1920
127000,955,Sawyer,5,1966
177000,1470,Gilbert,6,1997
114500,1176,BrkSide,6,1934
110000,816,IDOTRR,5,1963
385000,1842,Veenker,9,1981
130000,1360,NAmes,5,1955
180500,1425,NAmes,6,1964
172500,1739,Somerst,8,1999
196500,1720,CollgCr,7,2004
438780,2945,StoneBr,10,2006
124900,780,CollgCr,5,1972
158000,1158,SawyerW,6,2004
101000,1111,IDOTRR,5,1920
202500,1370,NridgHt,8,2006
140000,1710,OldTown,7,1921
219500,2034,CollgCr,7,1997
317000,2473,NridgHt,8,2004
180000,2207,NAmes,7,1970
226000,1479,CollgCr,7,2003
80000,747,OldTown,4,1945
225000,2287,ClearCr,7,1953
244000,2223,NAmes,7,1973
129500,845,Mitchel,4,1982
185000,1718,Gilbert,7,1998
144900,1086,NAmes,5,1954
107400,1605,OldTown,3,1915
91000,988,MeadowV,4,1973
135750,952,NAmes,4,1956
127000,1285,BrkSide,5,1948
136500,1768,Sawyer,4,1968
110000,1230,OldTown,5,1910
193500,2142,NAmes,6,1968
153500,1337,Mitchel,6,1998
245000,1563,Somerst,8,2007
126500,1065,NAmes,5,1960
168500,1474,Gilbert,7,1995
260000,2417,NoRidge,8,1991
174000,1560,Gilbert,6,2005
164500,1224,Somerst,6,2009
85000,1526,IDOTRR,3,1915
123600,990,CollgCr,4,1994
109900,1040,NAmes,4,1950
98600,1235,NAmes,5,1961
163500,964,Crawfor,5,1921
133900,2291,OldTown,6,1910
204750,1786,CollgCr,6,1997
185000,1470,Gilbert,6,1993
214000,1588,CollgCr,7,1999
94750,960,Edwards,4,1965
83000,835,Edwards,5,1920
128950,1225,NAmes,4,1959
205000,1610,NWAmes,6,1977
178000,1732,SawyerW,6,1985
118964,1535,SawyerW,5,1979
198900,1226,CollgCr,7,2009
169500,1818,IDOTRR,7,1931
250000,1992,Somerst,8,2003
100000,1047,OldTown,4,1885
115000,789,OldTown,5,1948
115000,1517,IDOTRR,5,1919
190000,1844,NWAmes,6,1977
136900,1855,Edwards,6,1954
180000,1430,Gilbert,7,2000
383970,2696,CollgCr,7,2007
217000,2259,Crawfor,6,1953
259500,2320,Crawfor,6,1945
176000,1458,Somerst,6,1999
139000,1092,Sawyer,5,1962
155000,1125,Edwards,5,2006
320000,3222,SawyerW,7,1990
163990,1456,CollgCr,6,2005
180000,988,ClearCr,6,1969
100000,1123,IDOTRR,4,1939
136000,1080,NAmes,6,1958
153900,1199,SawyerW,6,1993
181000,1586,NWAmes,6,1979
84500,754,IDOTRR,6,1935
